"cOtu","Phylum","Class","Order","Family","Genus","SampleID","Host.genus","Species_final_nov24","Native.status","Native.status.fine","occurence"
"cOtu0","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144746,"Megathyrsus","Megathyrsus.maximus","Nonnative","Widespread.invasive",1
"cOtu0","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144747,"Megathyrsus","Megathyrsus.maximus","Nonnative","Widespread.invasive",1
"cOtu0","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144749,"Paspalum","Paspalum.plicatum","Native","Native",1
"cOtu0","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144750,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu0","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",11
"cOtu0","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144753,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",22
"cOtu0","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144754,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",19
"cOtu0","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144755,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",6
"cOtu0","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144757,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",6
"cOtu0","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",5
"cOtu1","Basidiomycota","Microbotryomycetes","Microbotryomycetes incertae sedis",".","Colacogloea",144755,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu2","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeoseptoriella",144753,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",6
"cOtu2","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeoseptoriella",144754,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu2","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeoseptoriella",144755,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",3
"cOtu2","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeoseptoriella",144756,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu2","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeoseptoriella",144757,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",3
"cOtu3","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Phlebia",144755,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu4","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu4","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144753,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",3
"cOtu4","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144754,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",6
"cOtu4","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144755,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu4","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144757,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",3
"cOtu4","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu5","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Pseudoseptoria",144755,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu6","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",144748,"Megathyrsus","Megathyrsus.maximus","Nonnative","Widespread.invasive",2
"cOtu6","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",144749,"Paspalum","Paspalum.plicatum","Native","Native",2
"cOtu6","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",144750,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",23
"cOtu6","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",144751,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",6
"cOtu6","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",144753,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",2
"cOtu6","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",144755,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu6","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",144756,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",8
"cOtu6","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",144757,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",2
"cOtu6","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",144759,"Setaria","Setaria.parviflora","Native","Native",2
"cOtu6","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",144760,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu7","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144756,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu8","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Sarocladium",144756,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu9","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Brunneomyces",144756,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu10","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Collariella",144756,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu11","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudopithomyces",144756,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu12","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",144756,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu13","Basidiomycota","Cystobasidiomycetes","Cystobasidiomycetes incertae sedis","Symmetrosporaceae","Symmetrospora",144756,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu14","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",144751,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu14","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",144757,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu15","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",144753,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu15","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",144757,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu15","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",144765,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu16","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",144757,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu17","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Sarocladium",144748,"Megathyrsus","Megathyrsus.maximus","Nonnative","Widespread.invasive",1
"cOtu17","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Sarocladium",144753,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",2
"cOtu17","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Sarocladium",144757,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu18","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilago",144757,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu19","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144757,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu20","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144747,"Megathyrsus","Megathyrsus.maximus","Nonnative","Widespread.invasive",3
"cOtu20","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144750,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu20","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144751,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",2
"cOtu20","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",2
"cOtu20","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144753,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",2
"cOtu20","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144754,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",4
"cOtu20","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144757,"Cenchrus","Cenchrus.ciliaris","Nonnative","Widespread.invasive",1
"cOtu20","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144758,"Setaria","Setaria.parviflora","Native","Native",4
"cOtu20","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144759,"Setaria","Setaria.parviflora","Native","Native",3
"cOtu20","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144760,"Setaria","Setaria.parviflora","Native","Native",3
"cOtu20","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144764,"Elionurus","Elionurus.tripsacoides","Native","Native",2
"cOtu21","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraconiothyrium",144746,"Megathyrsus","Megathyrsus.maximus","Nonnative","Widespread.invasive",1
"cOtu22","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Buglossoporus",144746,"Megathyrsus","Megathyrsus.maximus","Nonnative","Widespread.invasive",1
"cOtu23","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144747,"Megathyrsus","Megathyrsus.maximus","Nonnative","Widespread.invasive",1
"cOtu24","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",144747,"Megathyrsus","Megathyrsus.maximus","Nonnative","Widespread.invasive",1
"cOtu25","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144747,"Megathyrsus","Megathyrsus.maximus","Nonnative","Widespread.invasive",1
"cOtu25","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144749,"Paspalum","Paspalum.plicatum","Native","Native",1
"cOtu26","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144747,"Megathyrsus","Megathyrsus.maximus","Nonnative","Widespread.invasive",1
"cOtu26","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144749,"Paspalum","Paspalum.plicatum","Native","Native",1
"cOtu26","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144750,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu26","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144753,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",4
"cOtu26","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144754,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",5
"cOtu27","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales incertae sedis","Arthrocatena",144748,"Megathyrsus","Megathyrsus.maximus","Nonnative","Widespread.invasive",1
"cOtu28","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Sarocladium",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu28","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Sarocladium",144759,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu28","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Sarocladium",144765,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu29","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Didymocyrtis",144751,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu29","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Didymocyrtis",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu30","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",4
"cOtu30","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144754,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu31","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu31","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria",144753,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu31","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria",144754,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu31","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria",144765,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu32","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu33","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu33","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144753,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu33","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144754,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",2
"cOtu34","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu35","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales incertae sedis","Trichothecium",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu35","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales incertae sedis","Trichothecium",144764,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu36","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Kiflimonium",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu37","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Toxicocladosporium",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",2
"cOtu38","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Yunnanomyces",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu39","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",144751,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu39","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",2
"cOtu39","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",144753,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu39","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",144754,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu39","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",144758,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu40","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Melanodothis",144751,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu40","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Melanodothis",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu40","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Melanodothis",144764,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu40","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Melanodothis",144765,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu41","Ascomycota","Dothideomycetes","Pleosporales","Teichosporaceae","Teichospora",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu41","Ascomycota","Dothideomycetes","Pleosporales","Teichosporaceae","Teichospora",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu42","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeoseptoriella",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu43","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Simplicidiella",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu44","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu45","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144749,"Paspalum","Paspalum.plicatum","Native","Native",3
"cOtu45","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144750,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",2
"cOtu45","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144752,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",1
"cOtu45","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144753,"Melinis","Melinis.repens","Nonnative","Widespread.invasive",2
