SampleID,Host.genus,Species_final_nov24,Native.status,Native.status.fine,Otu,occurence,Phylum,Class,Order,Family,Genus,Database,likelihood.weight
144746,Megathyrsus,Megathyrsus.maximus,Nonnative,Widespread.invasive,Otu10,281,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144747,Megathyrsus,Megathyrsus.maximus,Nonnative,Widespread.invasive,Otu10,72,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144748,Megathyrsus,Megathyrsus.maximus,Nonnative,Widespread.invasive,Otu10,722,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144746,Megathyrsus,Megathyrsus.maximus,Nonnative,Widespread.invasive,Otu45,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144748,Megathyrsus,Megathyrsus.maximus,Nonnative,Widespread.invasive,Otu45,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144751,Urochloa,Urochloa.mosambicensis,Nonnative,Established,Otu45,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144753,Melinis,Melinis.repens,Nonnative,Widespread.invasive,Otu45,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144754,Melinis,Melinis.repens,Nonnative,Widespread.invasive,Otu45,26,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144755,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu45,25,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144756,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu45,2,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144757,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu45,18,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144759,Setaria,Setaria.parviflora,Native,Native,Otu45,8,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144760,Setaria,Setaria.parviflora,Native,Native,Otu45,5,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144761,Heteropogon,Heteropogon.contortus,Nonnative,Established,Otu45,5,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144762,Heteropogon,Heteropogon.contortus,Nonnative,Established,Otu45,6,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
