SampleID,isolation.freq,Sample.no,Site,Genus,Epithet,Species,Species_final_nov24,Native.status,Native.status.fine,lat,long,collection.date,site.notes,slants.with.growth,total.slants,geo.pcnm.1,cOtu0,cOtu1,cOtu10,cOtu100,cOtu101,cOtu102,cOtu103,cOtu104,cOtu105,cOtu106,cOtu107,cOtu108,cOtu109,cOtu11,cOtu110,cOtu111,cOtu112,cOtu113,cOtu114,cOtu115,cOtu116,cOtu117,cOtu118,cOtu119,cOtu12,cOtu120,cOtu121,cOtu122,cOtu123,cOtu124,cOtu125,cOtu126,cOtu127,cOtu128,cOtu13,cOtu14,cOtu15,cOtu16,cOtu17,cOtu18,cOtu19,cOtu2,cOtu20,cOtu21,cOtu22,cOtu23,cOtu24,cOtu25,cOtu26,cOtu27,cOtu28,cOtu29,cOtu3,cOtu30,cOtu31,cOtu32,cOtu33,cOtu34,cOtu35,cOtu36,cOtu37,cOtu38,cOtu39,cOtu4,cOtu40,cOtu41,cOtu42,cOtu43,cOtu44,cOtu45,cOtu46,cOtu47,cOtu48,cOtu49,cOtu5,cOtu50,cOtu51,cOtu52,cOtu53,cOtu54,cOtu55,cOtu56,cOtu57,cOtu58,cOtu59,cOtu6,cOtu60,cOtu61,cOtu62,cOtu63,cOtu64,cOtu65,cOtu66,cOtu67,cOtu68,cOtu69,cOtu7,cOtu70,cOtu71,cOtu72,cOtu73,cOtu74,cOtu75,cOtu76,cOtu77,cOtu78,cOtu8,cOtu80,cOtu81,cOtu82,cOtu83,cOtu84,cOtu85,cOtu86,cOtu88,cOtu89,cOtu9,cOtu90,cOtu91,cOtu92,cOtu93,cOtu94,cOtu95,cOtu96,cOtu97,cOtu98,cOtu99
144746,0.0625,MM.1,R05,Megathyrsus,maximus,Megathyrsus.maximus,Megathyrsus.maximus,Nonnative,Invasive,27.23935245,-97.97910981,2-Jun-20,Sampled clumps of plants with each specimen > 1 m apart,6,96,-0.10734047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144747,0.114583333,MM.2,R05,Megathyrsus,maximus,Megathyrsus.maximus,Megathyrsus.maximus,Nonnative,Invasive,27.23935245,-97.97910981,2-Jun-20,Sampled clumps of plants with each specimen > 1 m apart,11,96,-0.10734047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144748,0.168421053,MM.3,R05,Megathyrsus,maximus,Megathyrsus.maximus,Megathyrsus.maximus,Nonnative,Invasive,27.23935245,-97.97910981,2-Jun-20,Sampled clumps of plants with each specimen > 1 m apart,16,95,-0.10734047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144749,0.479166667,UT.1,WSDM3,Paspalum,plicatum,Paspalum.plicatum,Paspalum.plicatum,Native,Native,27.1877,-97.95592,2-Jun-20,Sampled clumps of plants with each specimen > 1 m apart,46,96,0.087940782,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144750,0.6875,UT.2,WSDM3,Urochloa,mosambicensis,Urochloa.mosambicensis,Urochloa.mosambicensis,Nonnative,Established,27.1877,-97.95592,2-Jun-20,Sampled clumps of plants with each specimen > 1 m apart,66,96,0.087940782,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144751,0.53125,UT.3,WSDM3,Urochloa,mosambicensis,Urochloa.mosambicensis,Urochloa.mosambicensis,Nonnative,Established,27.1877,-97.95592,2-Jun-20,Sampled clumps of plants with each specimen > 1 m apart,51,96,0.087940782,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144752,0.416666667,MR.1,R05,Melinis,repens,Melinis.repens,Melinis.repens,Nonnative,Invasive,27.23935245,-97.97910981,2-Jun-20,Sampled clumps of plants with each specimen > 1 m apart,40,96,-0.10734047,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,4,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144753,0.885416667,MR.2,R05,Melinis,repens,Melinis.repens,Melinis.repens,Nonnative,Invasive,27.23935245,-97.97910981,2-Jun-20,Left outside overnight; Sampled clumps of plants with each specimen > 1 m apart,85,96,-0.10734047,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,6,2,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,1,5,1,4,0,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144754,0.854166667,MR.3,R05,Melinis,repens,Melinis.repens,Melinis.repens,Nonnative,Invasive,27.23935245,-97.97910981,2-Jun-20,Sampled clumps of plants with each specimen > 1 m apart,82,96,-0.10734047,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,5,0,0,0,0,1,1,0,2,0,0,0,0,0,1,6,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,1,1,1,1,1,1,4,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144755,0.145833333,CC.1,R05,Cenchrus,ciliaris,Cenchrus.ciliaris,Cenchrus.ciliaris,Nonnative,Invasive,27.23935245,-97.97910981,2-Jun-20,Sampled clumps of plants with each specimen > 1 m apart,14,96,-0.10734047,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
