"Otu","Phylum","Class","Order","Family","Genus","Database","likelihood.weight"
"Otu10","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu45","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","Unite",NA
"Otu26","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pleosporales_gen_Incertae_sedis","Unite",NA
"Otu41","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pleosporales_gen_Incertae_sedis","Unite",NA
"Otu4","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu143","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum","Tbas","0.9651054287"
"Otu96","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu66","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pleosporales_gen_Incertae_sedis","Unite",NA
"Otu199","Zoopagomycota","Zoopagomycetes","Zoopagales","Helicocephalidaceae","Rhopalomyces","Tbas","0.9959418334"
"Otu209","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Unite",NA
"Otu35","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Toxicocladosporium","Tbas","0.9795490482"
"Otu137","Unknown","Unknown","Unknown","Unknown","Unknown","Tbas.Unite",NA
"Otu361","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Unite",NA
"Otu5","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu104","Unknown","Unknown","Unknown","Unknown","Unknown","Tbas.Unite",NA
"Otu1","Ascomycota","Pezizomycetes","Pezizales","Morchellaceae","Morchella","Tbas","0.9999647085"
"Otu173","Unknown","Unknown","Unknown","Unknown","Unknown","Tbas.Unite",NA
"Otu9","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu186","Basidiomycota","Agaricomycetes","Polyporales","Incrustoporiaceae","Skeletocutis","Unite",NA
"Otu288","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeoseptoriella","Tbas","0.9999865551"
"Otu135","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Tbas","0.9652097602"
"Otu450","Fungi_phy_Incertae_sedis","Fungi_cls_Incertae_sedis","Fungi_ord_Incertae_sedis","Fungi_fam_Incertae_sedis","Fungi_gen_Incertae_sedis","Unite",NA
"Otu29","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Unite",NA
"Otu94","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Unite",NA
"Otu14","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu382","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","1.0"
"Otu12","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu3","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu646","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactifluus","Unite",NA
"Otu414","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Unite",NA
"Otu246","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phanerochaete","Tbas","0.9603863864"
"Otu182","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Unite",NA
"Otu43","Zoopagomycota","Zoopagomycetes","Zoopagales","Helicocephalidaceae","Rhopalomyces","Tbas","0.9994204425"
"Otu693","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Unite",NA
"Otu249","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pleosporales_gen_Incertae_sedis","Unite",NA
"Otu188","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Laetisaria","Tbas","0.9999662302"
"Otu91","Chytridiomycota","Chytridiomycota_cls_Incertae_sedis","Chytridiomycota_ord_Incertae_sedis","Chytridiomycota_fam_Incertae_sedis","Chytridiomycota_gen_Incertae_sedis","Unite",NA
"Otu37","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Alfaria","Unite",NA
"Otu30","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","1.0"
"Otu141","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Unite",NA
"Otu23","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu373","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Unite",NA
"Otu255","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Tbas","0.9966346302"
"Otu20","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","Unite",NA
"Otu8","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
