formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,compoundId,mappingFeatureId,overallFeatureQuality
1,C2H7OP,[M + K]+,C2H7KOP+,Fatty acids,0.836,Fatty acyls,0.936,Fatty alcohols,0.097,Organophosphorus compounds,0.737,,,,,,,Organophosphorus compounds,0.737,Organic compounds; Organophosphorus compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,116.986,33,0.550,766798780409745129,766798229383048395,766798229383048394,3526,
1,C11H23NO6,[M + H]+,C11H24NO6+,Amino acids and Peptides,0.999,Amino acid glycosides,1.000,Cyanogenic glycosides,1.000,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbohydrates and carbohydrate conjugates,0.998,Glycosyl compounds,0.966,Cyanogenic glycosides,0.952,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Nitriles; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Cyanogenic glycosides; Oxacyclic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,266.160,34,0.574,766800612662106471,766798155747832406,766798155747832405,468,
1,C7H15NO3,[M + H]+,C7H16NO3+,Fatty acids,0.994,Fatty esters,0.985,Fatty acyl carnitines,0.996,Organic acids and derivatives,0.996,Hydroxy acids and derivatives,0.504,Short-chain hydroxy acids and derivatives,0.532,,,Short-chain hydroxy acids and derivatives,0.532,"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Short-chain hydroxy acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy acids and derivatives; Quaternary ammonium salts; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid salts; Carboxylic acids; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",162.112,36,0.595,766798363265235795,766798163863811981,766798163863811980,744,
1,C8H14N3O7P,[M + H]+,C8H15N3O7P+,Carbohydrates,0.995,Nucleosides,0.985,Pyrimidine nucleotides,0.941,"Nucleosides, nucleotides, and analogues",0.779,Pyrimidine nucleotides,0.853,Pyrimidine ribonucleotides,0.907,Pyrimidine ribonucleoside diphosphates,0.641,Pyrimidine ribonucleoside diphosphates,0.641,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Aminopyrimidines and derivatives; Diazines; Pentoses; Pyrimidine nucleotides; Monosaccharides; Monosaccharide phosphates; Pyrimidine ribonucleoside diphosphates; Secondary alcohols; Organic pyrophosphates; Glycosyl compounds; Pyrimidine ribonucleotides; Hydropyrimidines; Glycosylamines; Pentose phosphates; Polyols; Amines; Primary amines; Alkyl phosphates; Monoalkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",296.066,36,0.600,766798381544013847,766798166195845415,766798166195845414,829,
1,C10H22N2O4,[M + K]+,C10H22KN2O4+,Amino acids and Peptides,0.970,Small peptides,0.976,Dipeptides,0.671,Organic acids and derivatives,0.984,Carboxylic acids and derivatives,0.951,"Amino acids, peptides, and analogues",0.868,Amino acids and derivatives,0.864,Valine and derivatives,0.708,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",273.121,36,0.600,766798376754118021,766798146465836414,766798146465836413,223,
1,C12H21N3O7,[M + H]+,C12H22N3O7+,Amino acids and Peptides,0.893,Small peptides,0.706,Dipeptides,0.250,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,0.999,"Amino acids, peptides, and analogues",0.966,Peptides,0.648,Peptides,0.648,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Amino acids; Alanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",320.145,36,0.602,766800607649913082,766798212345781867,766798212345781866,2774,
1,C4H10O3Si,[M + H]+,C4H11O3Si+,Fatty acids,0.949,Fatty Acids and Conjugates,0.882,Halogenated fatty acids,0.928,Organic acids and derivatives,0.732,Carboxylic acids and derivatives,0.687,Monocarboxylic acids and derivatives,0.515,,,Monocarboxylic acids and derivatives,0.515,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,135.047,36,0.604,766803691621029316,766798235980690037,766798235980690036,3825,
1,C6H12NO7S,[M + Na]+,C6H12NNaO7S+,Amino acids and Peptides,0.954,Small peptides,0.921,Aminoacids,0.818,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",0.994,Amino acids and derivatives,0.994,N-acyl-alpha amino acids and derivatives,0.515,"Organic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Carbonyl compounds; Dialkylthioethers; Organic oxides; Hydrocarbon derivatives; Cysteine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",265.023,36,0.604,766798779336003191,766798190166297575,766798190166297574,1802,
1,C10H24N2O3,[M + H]+,C10H25N2O3+,Fatty acids,0.603,Small peptides,0.501,Aminoacids,0.303,Organic nitrogen compounds,0.999,Organonitrogen compounds,0.998,Amines,0.894,,,Amines,0.894,Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,221.186,36,0.606,766800556944971698,766798147229199837,766798147229199836,242,
1,C5H7NO3,[M + H]+,C5H8NO3+,Amino acids and Peptides,0.998,Small peptides,0.994,Aminoacids,0.994,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",0.941,Amino acids and derivatives,0.940,Proline and derivatives,0.734,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pyrrolidones; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Oxoprolines; Pyrrolidine carboxylic acids; Pyrrolidine-2-ones; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",130.050,37,0.612,766798885875519753,766798154233688437,766798154233688436,423,
