row ID,row m/z,row retention time,blank.mzXML Peak area,33.mzXML Peak area,17.mzXML Peak area,31.mzXML Peak area,28.mzXML Peak area,08.mzXML Peak area,26.mzXML Peak area,32.mzXML Peak area,12.mzXML Peak area,15.mzXML Peak area,25.mzXML Peak area,11.mzXML Peak area,24.mzXML Peak area,20.mzXML Peak area,21.mzXML Peak area,19.mzXML Peak area,27.mzXML Peak area,16.mzXML Peak area,13.mzXML Peak area,30.mzXML Peak area,23.mzXML Peak area,01.mzXML Peak area,10.mzXML Peak area,35.mzXML Peak area,18.mzXML Peak area,14.mzXML Peak area,22.mzXML Peak area,36.mzXML Peak area,02.mzXML Peak area,07.mzXML Peak area,09.mzXML Peak area,03.mzXML Peak area,34.mzXML Peak area,29.mzXML Peak area,04.mzXML Peak area,05.mzXML Peak area,06.mzXML Peak area,
1,338.3416804099088,17.174094594594592,2.4873904780486755E9,2.3504829778392334E9,2.4895071603396034E9,2.6474620877885017E9,2.863566024520503E9,2.547820734660347E9,2.5801111348159466E9,2.3563637094783444E9,2.5677522343217387E9,2.690998821036447E9,2.5149482166029415E9,2.7493258671476984E9,2.6319686270146008E9,2.326639565035132E9,2.28408698897459E9,2.6330411173801894E9,2.622310194756128E9,2.3749637697114263E9,2.474433910012791E9,2.739385329693803E9,2.337442529316848E9,2.4865851437648425E9,2.733018978093524E9,2.6920987858429546E9,2.487913760727665E9,2.540092246099804E9,2.7557734560177965E9,2.559082653647411E9,2.458963870333596E9,2.5899631934313188E9,2.342052982709028E9,2.3744520304587345E9,2.609836134870782E9,2.302062561143926E9,2.6714500354202466E9,2.4145075116577578E9,2.5984089217892704E9,
2,360.32357214159254,17.172049549549552,1.4334399987534447E9,1.2461988255544593E9,1.3431198297965484E9,1.4839481330375807E9,1.4823415979106157E9,1.272053441298693E9,1.4344119437906752E9,1.213024831889501E9,1.3736869038178356E9,1.4088768523653755E9,1.398404411895905E9,1.3842666687160766E9,1.3375277615654147E9,1.1786707382643614E9,1.2413127314801357E9,1.4214707943754804E9,1.214996918043539E9,1.1408955727780004E9,1.2615683228062158E9,1.3443164935723727E9,1.2275940042331378E9,1.2622006561432633E9,1.3863960116921413E9,1.353748898852301E9,1.1546030874143796E9,1.3498903814480288E9,1.3517242057948222E9,1.159988268566501E9,1.217196241164843E9,1.2559905703972824E9,1.0515404110732628E9,1.13882528175628E9,1.158283459194165E9,1.1366477131764128E9,1.173610510132123E9,1.1596191206390636E9,1.0829299346779635E9,
3,722.5271309911393,18.177896396396395,5.939076193976474E8,5.975000562560891E8,5.955512998776475E8,6.020557457046876E8,5.957863271021856E8,5.882959282370299E8,6.100507339901564E8,5.678258013735847E8,5.765822812149892E8,5.840882281862547E8,5.739767928107703E8,5.22700722531562E8,6.100295544064093E8,5.693151532023414E8,5.705777058325125E8,6.001195899921795E8,5.638955565800773E8,5.660073956492138E8,5.98456972847819E8,6.092053905435959E8,5.78257872537725E8,5.765772483910843E8,5.996192879532727E8,6.075906260320395E8,5.639331174062517E8,5.49305464726567E8,6.143267593334304E8,5.77941515488121E8,4.9774966842047113E8,6.024189168629656E8,5.478494660137492E8,5.312367704610826E8,5.618785393168656E8,5.801787134684495E8,5.746008156390566E8,5.3392538150561595E8,5.757605037698365E8,
4,596.6089203743644,18.654292792792795,3.716442418689127E8,2.8086778285172343E8,2.5749535652422285E8,3.531820521592141E8,2.770970202717219E8,3.1227242971015817E8,3.283224127750027E8,3.045810409803069E8,3.178664841159353E8,3.1801015830812675E8,3.1936986945233816E8,2.922347350345324E8,3.392158413292996E8,3.0550987767843604E8,3.0324198984867746E8,2.930605044057843E8,3.2406083444390255E8,2.7893866145055014E8,2.8949258877077883E8,2.835808114139078E8,3.2621997038483787E8,3.164776260968701E8,2.905305366630511E8,3.320637791693727E8,2.9115689353297037E8,3.044831869717946E8,2.851252120271109E8,3.129808621755503E8,3.066171958464815E8,2.816344976789837E8,2.9222502988976234E8,2.7667768435999554E8,2.965661968486711E8,2.893068590610118E8,2.4310513432374918E8,2.932120435922671E8,3.0051537337508106E8,
5,116.98588339509317,21.31826576576576,4.665365859940639E8,4.5690402340281457E8,4.656769930971877E8,4.627560083018741E8,4.580490677734391E8,4.7734680482968634E8,4.6493033944467723E8,4.5959863527E8,4.697290036474982E8,4.6757117261750174E8,4.742664631734356E8,4.6573949162906265E8,4.597056805162513E8,4.642973256537512E8,4.6693273417593855E8,4.662258673212442E8,4.6207991107312584E8,4.753291840334385E8,4.6398412704375094E8,4.541919413153146E8,4.616086269571879E8,4.7763257588093716E8,4.77786624472188E8,4.5824868924843705E8,4.550187648037503E8,4.6138061842187566E8,4.661153078156261E8,4.5706025617469126E8,4.6852631763812524E8,4.80263482467505E8,4.705722474440611E8,4.7630662047187495E8,4.70638485856563E8,4.675607601012496E8,4.6673003409530777E8,4.6769558068125063E8,4.533042315915643E8,
6,274.27413163421954,12.072996396396395,2.0331048756571135E8,1.9480319851371112E8,1.9952227626653922E8,1.980642622311017E8,1.9541737387407792E8,1.954011804921951E8,2.0191783439946154E8,1.8339777523337612E8,1.701073539140858E8,1.8623238246006253E8,1.9398564740638304E8,1.8883397239656207E8,1.8892077239210865E8,1.9426588263607E8,1.9774212795354602E8,1.9196337520432746E8,1.735670782245775E8,1.7405737829745322E8,1.9707076590069586E8,1.9921798752207768E8,1.797811905154456E8,1.7570339051980457E8,1.826164459877202E8,1.8946256454168025E8,1.808537776805311E8,1.9483923536281982E8,1.8795869557124963E8,1.696801127700237E8,1.9040922453453934E8,2.0448352280731323E8,1.7521371097971866E8,1.667380280249928E8,1.7051462393210918E8,1.7658793069297004E8,1.7399090503218746E8,1.658879947970321E8,1.8479344976409358E8,
7,624.6401768667988,19.332518018018014,2.8060050456296676E8,2.4693709678905967E8,2.5771687810179517E8,2.6339125685843748E8,2.3172329874648514E8,2.3847658208070487E8,2.4991200913437265E8,2.6826546292624664E8,2.748899641841421E8,2.5024220854242095E8,2.705763940057834E8,2.808287049882008E8,2.82006643702968E8,2.7009578261601835E8,2.623040760421076E8,2.6039651523968858E8,2.623828069904655E8,2.5164997663632804E8,2.615485895787512E8,2.449894249734389E8,2.76585402607497E8,2.844881689626567E8,2.3874834715875104E8,2.949287845728147E8,2.5538992754687783E8,2.558145835374999E8,2.399491431943769E8,2.659718894287506E8,2.4534640732546797E8,2.399574318440624E8,2.562673685876561E8,2.5100656481499964E8,2.4659849419601828E8,2.41747628258671E8,2.22920036160392E8,2.4368683406562242E8,2.4294230292875224E8,
8,559.5174023326625,18.657459459459464,2.628731112407852E8,2.197297611242987E8,2.3858108782695487E8,2.0804831264413825E8,1.9806772544711107E8,1.7439594903617308E8,1.847149102628535E8,2.1282680890038702E8,1.94230328993593E8,1.770833429207032E8,1.9669631880335623E8,1.8606411508597717E8,1.9116885581414145E8,2.157501652706643E8,2.105387017691431E8,1.962419269916423E8,1.873894247875759E8,2.2960135026418152E8,1.8315371286538938E8,1.8183715137769607E8,2.0290689647335613E8,2.0507336570632577E8,1.7731327863797116E8,1.866176665200377E8,2.1742328652609384E8,1.9550527327277184E8,1.863588262109384E8,1.8378940699961135E8,1.797911190072645E8,1.7329531331539E8,1.8570525391179457E8,2.1302772285273194E8,1.9617481106375012E8,1.8905751152913836E8,1.8448404243898442E8,2.076144742216404E8,1.8291536186613438E8,
9,587.5485940176773,19.334608108108107,2.7585419900859207E8,2.0255916621765402E8,2.0905198595171672E8,2.191827381749219E8,1.9318755479125062E8,2.2813977912765747E8,2.2517593174859166E8,2.333157655610131E8,2.1167707386953253E8,1.96998637084062E8,2.393519691836735E8,2.1491275050609213E8,2.640705009256238E8,2.201858844106269E8,2.067133672699989E8,2.029501310578915E8,2.2791656756695056E8,2.006908623940623E8,2.0251259526906347E8,2.3614985769187632E8,2.5291540976280984E8,2.3638591903867218E8,2.1278642820718834E8,2.0755089133054894E8,2.0278738875523648E8,2.0697180523546863E8,2.221260164250803E8,2.3453516981406283E8,2.1074256085085887E8,1.882829465446876E8,1.9220397554078132E8,2.07064604690156E8,2.09024837923049E8,2.0546261757421815E8,2.0502121034414145E8,2.0498311309718534E8,2.0303942626453298E8,
10,446.26672777908294,13.275747297297299,1.2714740778350395E8,1.347139605479652E8,1.393221249054693E8,1.3533642562052658E8,1.3356423787613682E8,1.3005982368355125E8,1.4037259426740652E8,1.2362038893482111E8,1.24306223818622E8,1.2955271191064042E8,1.2994488100261378E8,1.4203866565400138E8,1.3415649821110466E8,1.2588109298034608E8,1.1799713064471483E8,1.417383982341516E8,1.2421203998161647E8,1.1683466391714458E8,1.3627711443750778E8,1.3423885772639498E8,1.2520864913725327E8,1.2643809099569595E8,1.4350808711735368E8,1.2650816138715635E8,1.2707274490404996E8,1.2733539502382004E8,1.37150287798125E8,1.1957061601263337E8,1.4274292858578458E8,1.2875056871962129E8,1.1751186645738165E8,1.2403037980840644E8,1.2029018728917162E8,1.2286826030573396E8,1.1852152680031647E8,1.0602796515002024E8,1.2861263875377418E8,
